,predict_y,true_y
0,2.9835205078125,3.0
1,1.72125244140625,3.3
2,1.98760986328125,4.0
3,2.54534912109375,3.8
4,1.08551025390625,2.6
5,3.8331298828125,1.95
6,3.3013916015625,2.8
7,4.779541015625,2.4
8,4.5609130859375,3.3
9,4.215087890625,4.71
10,3.573974609375,3.4
11,4.463470458984375,4.4
12,4.306640625,3.6
13,3.923187255859375,4.0
14,-471568921176.87317,9.6
15,-471568921174.7893,6.6
16,-471568921175.8725,14.4
17,-471568921175.4296,10.0
18,-471568921159.48944,46.0
19,-471568921160.12976,8.0
20,-471568921181.1726,3.0
21,-471568921181.94934,2.0
22,-471568921182.03503,2.4
23,-471568921179.9512,3.2
24,-471568921181.03436,2.0
25,-471568921180.59143,5.0
26,-471568921182.23755,7.0
27,-471568921177.5196,12.0
28,5.306365966796875,4.0
29,3.7578125,4.4
30,5.808349609375,6.6
31,4.7574462890625,3.2
32,5.2353515625,5.6
33,3.714141845703125,4.3
34,3.368316650390625,2.77
35,2.727203369140625,3.1
36,3.61669921875,3.4
37,3.459869384765625,3.1
38,4.4595947265625,1.2
39,2.911041259765625,5.2
40,4.961578369140625,3.8
41,3.910675048828125,6.4
42,4.388580322265625,7.0
43,3.468994140625,2.3
44,3.689208984375,3.25
45,3.7353515625,2.8
46,4.2930908203125,3.0
47,2.4241943359375,1.6
48,3.0726318359375,2.25
49,2.41943359375,1.35
50,3.3658447265625,2.8
51,3.147216796875,2.2
52,2.8013916015625,2.58
53,2.1602783203125,2.4
54,3.049774169921875,3.0
55,2.8929443359375,2.0
56,2.509490966796875,3.0
57,-471568921182.3771,4.4
58,-471568921182.4627,4.4
59,-471568921180.37885,4.2
60,-471568921181.46204,4.0
61,-471568921181.01917,5.0
62,-471568921182.48303,3.8
63,-471568921183.25977,4.2
64,-471568921183.3454,3.2
65,-471568921181.26154,2.4
66,-471568921182.3447,4.0
67,-471568921181.90186,4.0
68,-471568921182.1515,3.8
69,-471568921182.23706,6.0
70,-471568921180.1532,6.0
71,-471568921183.25256,4.0
72,-471568921177.0151,8.0
73,-471568921176.5722,10.0
74,-471568921180.19025,5.2
75,-471568921183.0011,2.3
76,-471568921182.77515,3.25
77,-471568921182.6832,3.0
78,-471568921182.639,2.4
79,-471568921183.6959,2.15
80,-471568921183.4282,2.0
81,-471568921181.87915,3.0
82,-471568921182.0829,2.6
83,-471568921181.50244,4.2
84,-471568921183.12695,1.3
85,-471568921182.7013,2.0
86,-471568921182.89886,3.0
87,-471568921182.1606,2.6
88,-471568921182.63074,3.0
89,-471568921183.4264,1.6
90,-471568921181.8505,3.2
91,-471568921181.8505,2.7
92,-471568921181.9758,4.0
93,-471568921182.0215,2.3
94,-471568921182.62726,2.0
95,-471568921183.16003,2.6
96,-471568921181.64417,4.0
97,-471568921181.92975,3.3
98,-471568921182.24365,2.49
99,-471568921182.04016,3.4
100,-471568921181.23645,1.4
101,-471568921179.4005,4.6
102,-471568921180.17725,2.8
103,-471568921178.179,3.6
104,-471568921179.2622,3.6
105,-471568921178.81934,4.6
106,-471568921182.5647,2.8
107,-471568921183.34143,5.6
108,-471568921183.427,6.8
109,-471568921181.34314,8.6
110,-471568921182.4264,7.0
111,-471568921181.9835,8.0
112,-471568921183.0424,2.6
113,-471568921183.8192,2.0
114,-471568921183.9048,2.2
115,-471568921181.8209,2.8
116,-471568921182.9042,3.6
117,-471568921182.4613,5.0
118,-471568921161.5733,11.6
119,-471568921181.27344,7.0
120,-471568921180.83057,4.0
121,-471568921176.01086,13.0
122,-471568921176.78754,7.0
123,3.731689453125,2.1
124,3.731689453125,2.5
125,-4970452481.79834,2.6
126,-4970452481.850098,4.1
127,-4970452482.455811,2.2
128,3.8453369140625,3.4
129,1.449249267578125,2.5
130,1.669464111328125,2.65
131,1.715606689453125,1.4
132,0.813507080078125,1.5
133,2.68768310546875,3.3
134,2.91326904296875,5.25
135,3.00445556640625,3.2
136,3.097930908203125,3.0
137,2.20928955078125,2.6
138,3.82598876953125,3.6
139,3.59832763671875,3.6
140,4.127105712890625,5.2
141,2.98162841796875,3.4
142,3.04327392578125,3.0
143,3.47479248046875,2.6
144,2.994537353515625,4.1
145,2.272125244140625,3.0
146,7.53485107421875,7.0
147,7.836090087890625,4.4
148,6.69061279296875,6.4
149,7.18377685546875,7.0
150,5.981109619140625,2.8
151,7.54852294921875,7.6
152,7.41864013671875,8.0
153,6.22833251953125,7.0
154,6.50433349609375,8.6
155,7.24310302734375,7.8
156,6.81585693359375,7.4
157,6.68255615234375,7.6
158,8.74847412109375,8.6
159,7.64141845703125,15.0
160,8.11737060546875,8.0
161,1.35845947265625,2.1
162,1.85162353515625,1.0
163,1.371368408203125,1.5
164,0.648956298828125,1.8
165,2.21649169921875,2.0
166,2.08648681640625,2.2
167,2.03375244140625,1.45
168,1.81671142578125,1.5
169,1.91094970703125,1.25
170,2.90936279296875,1.1
171,15.30572509765625,15.0
172,14.95465087890625,16.0
173,14.27520751953125,14.5
174,14.58673095703125,16.0
175,12.54425048828125,18.0
176,11.70001220703125,10.5
177,12.19317626953125,11.0
178,12.42803955078125,10.5
179,11.23773193359375,8.5
180,11.82525634765625,8.0
181,9.365936279296875,8.0
182,9.379608154296875,8.4
183,8.059417724609375,7.3
184,3.83966064453125,4.0
185,3.83966064453125,2.81
186,3.70965576171875,3.8
187,3.65692138671875,2.6
188,-471568921182.05164,2.4
189,-471568921182.58405,2.4
190,-471568921181.1553,3.0
191,-471568921182.7129,3.6
192,-471568921184.32446,2.2
193,-471568921183.78375,2.0
194,-471568921184.2539,2.0
195,-471568921185.04956,2.0
196,-471568921183.4737,2.0
197,-471568921183.59906,3.7
198,-471568921183.64465,2.0
199,-471568921184.2505,1.0
200,-471568921183.8668,2.13
201,-471568921183.67487,1.7
202,-471568921182.77844,1.4
203,-471568921170.3993,15.0
204,-471568921171.1042,16.0
205,-471568921173.1608,18.0
206,-471568921173.98303,10.0
207,-471568921173.44226,16.0
208,-471568921173.2575,9.5
209,-471568921174.44165,6.5
210,-471568921173.86566,4.5
211,-471568921176.3391,8.0
212,-471568921176.6206,7.0
213,-471568921176.31055,8.6
214,-471568921180.629,4.8
215,-471568921181.7123,2.8
216,-471568921181.26935,4.0
217,-471568921184.62427,1.6
218,-471568921184.3983,3.15
219,-471568921184.3064,2.0
220,-471568921183.8076,2.8
221,-471568921184.26215,2.0
222,-471568921185.05145,1.5
223,-471568921183.5023,2.0
224,-471568921183.7061,3.0
225,-471568921183.1256,3.0
226,-471568921184.7501,1.4
227,-471568921177.62,6.0
228,-471568921177.04395,10.0
229,-471568921177.17285,7.8
230,-471568921175.089,12.4
231,-471568921176.1722,7.6
232,-471568921175.7293,12.0
233,-471568921163.08496,35.0
234,-471568921164.0844,7.5
235,-471568921179.2921,3.9
236,-471568921179.06616,5.25
237,-471568921178.97424,5.0
238,-471568921178.17017,8.0
