,predict_y,true_y
0,3.645599842071533,3.0
1,2.996218681335449,3.3
2,2.996218681335449,4.0
3,2.996218681335449,3.8
4,2.8379828929901123,2.6
5,3.4427146911621094,1.95
6,3.4427146911621094,2.8
7,3.36806058883667,2.4
8,3.4427146911621094,3.3
9,3.36806058883667,4.71
10,3.4427146911621094,3.4
11,3.4427146911621094,4.4
12,3.4427146911621094,3.6
13,3.36806058883667,4.0
14,7.384823322296143,9.6
15,7.863667964935303,6.6
16,9.016562461853027,14.4
17,8.151803970336914,10.0
18,34.82455825805664,46.0
19,13.768013954162598,8.0
20,3.3649778366088867,3.0
21,3.3649778366088867,2.0
22,3.3649778366088867,2.4
23,4.286962032318115,3.2
24,3.6427338123321533,2.0
25,4.131957530975342,5.0
26,4.131957530975342,7.0
27,4.662851333618164,12.0
28,3.4891982078552246,4.0
29,3.4427146911621094,4.4
30,4.364698886871338,6.6
31,3.720470666885376,3.2
32,4.2096943855285645,5.6
33,3.3649778366088867,4.3
34,3.2903237342834473,2.77
35,3.3649778366088867,3.1
36,3.3649778366088867,3.4
37,3.3649778366088867,3.1
38,3.411461353302002,1.2
39,3.3649778366088867,5.2
40,4.286962032318115,3.8
41,3.6427338123321533,6.4
42,4.131957530975342,7.0
43,3.36806058883667,2.3
44,3.36806058883667,3.25
45,3.36806058883667,2.8
46,3.36806058883667,3.0
47,3.3649778366088867,1.6
48,3.506061315536499,2.25
49,3.3649778366088867,1.35
50,3.2903237342834473,2.8
51,3.3649778366088867,2.2
52,3.2903237342834473,2.58
53,3.3649778366088867,2.4
54,3.3649778366088867,3.0
55,3.3649778366088867,2.0
56,3.2903237342834473,3.0
57,3.3649778366088867,4.4
58,3.3649778366088867,4.4
59,4.286962032318115,4.2
60,3.6427338123321533,4.0
61,4.131957530975342,5.0
62,3.3649778366088867,3.8
63,3.3649778366088867,4.2
64,3.3649778366088867,3.2
65,4.286962032318115,2.4
66,3.6427338123321533,4.0
67,4.131957530975342,4.0
68,3.3649778366088867,3.8
69,3.3649778366088867,6.0
70,4.286962032318115,6.0
71,4.131957530975342,4.0
72,7.3747477531433105,8.0
73,7.863971710205078,10.0
74,7.8484625816345215,5.2
